Titulo,Preco,Localizacao,Descricao,Tamanho
N/A,R$ 498.000,"Tibery, Uberlândia","Excelente Apartamento no Bairro Tibery
Apartamento com excelente localização próximo de Patio Sabiá, Parque do Sabiá, Drogaria, Prefeitura e Supermercado
2 Quartos sendo 1 Suíte, Todos os Quartos com Guarda - Roupa Planejado
1 Banheiro Social
Sala
Cozinha com Armários
Lavanderia
Varanda
Garagem para 1 Carro
2° Andar
Condomínio Possui:
Portaria 24Hrs
Cerca Elétrica 
Playground
Elevador
Apartamento com 70m²
Valor: R$ 498.000,00",70 m²
N/A,R$ 368.550Cond.  R$ 200 | IPTU R$ 0Preço abaixo do mercado,"Segismundo Pereira, Uberlândia","* Apartamento bem localizado, fácil acesso, com 79m²
* 02 vagas de garagem, Internet no condominio.
* Tem uma sala em 02 ambientes
* Cozinha e lavanderia independentes
* Banho social
* 03 quartos sendo 01 suite.
* Todos ambientes com armários planejados.
* Todos ambientes com armários, cerâmica e granito. -",79 m²
N/A,R$ 170.000Cond.  R$ 253 | IPTU R$ 1,"Shopping Park, Uberlândia","Você merece morar em um lugar que tenha tudo o que precisa, e agora é a sua chance! Venha morar no condomínio Spazio Único, onde poderá desfrutar de uma excelente localização na Gávea. Com uma sala espaçosa e moderna, 2 quartos aconchegantes com armários, banheiro social com armário, box blindex e espelho, cozinha estilo americana bancada e armários, área de serviço e 1 vaga de garagem, você terá tudo o que precisa para viver bem. Além disso, o condomínio oferece água e gás incluídos, portaria 24 horas, quadra de esporte, playground, salão de festas e espaço gourmet com churrasqueira para você curtir com a sua família e amigos. Não perca mais tempo e venha morar no apartamento dos seus sonhos agora mesmo! Agende sua visita.",45 m²
N/A,R$ 220.000,"Novo Mundo, Uberlândia","Apartamento de dois dormitórios, sendo um suíte, duas salas conjugadas e com sacada, cozinha separada da área de serviço, garagem coberta. Aproximadamente 56 m².Gostou do imóvel? Estamos aqui para te ajudar na negociação. Conte com a Objetiva Imóveis Uberlândia",56 m²
N/A,R$ 210.000Cond.  R$ 176 | IPTU R$ 0,"Maravilha, Uberlândia","Ótimo apartamento localizado no Bairro Maravilha com 64,88m2 de área privativa, 02 vagas cobertas e livre, sala em 02 ambientes, cozinha, 02 quartos sendo 01 suíte, 02 banheiros, área de serviço, todo montado de armários.",65 m²
N/A,R$ 255.000Cond.  R$ 1 | IPTU R$ 1,"Pampulha, Uberlândia","O Residencial Milo tem apartamentos entre 51m² a 59m² de área privativa, com elevador, sala em dois ambientes, 2 quartos com e sem suíte, banheiro social, cozinha americana, área de serviço, portas com isolamento acústico, porcelanato extra em toda unidade, detalhes em pastilha, granito bancada, peitoris e soleiras, área molhada 100 azulejadas. vaga ampla de garagem, total de 18 apartamentos. Localizado a duas quadras da Avenida João Naves de Avila.",51 m²
N/A,R$ 150.000,"Jaraguá, Uberlândia","Lindo apartamento com 45m² e localização privilegiada no Chácaras Tubalina, 2 quartos com armários embutidos, banheiro social, sala, cozinha com armários embutidos, área de serviço e garagem para 1 carro. Condomínio com portaria e playground. Não tem elevador.Gostou do imóvel? Estamos aqui para te ajudar na negociação. Conte com a Objetiva Imóveis Uberlândia",45 m²
N/A,R$ 180.000Cond.  R$ 260 | IPTU R$ 0,"Chácaras Tubalina e Quartel, Uberlândia","Apartamento com aproximadamente 65 m² de área privativa, sendo, sala ampla, 3 quartos sendo 1 suíte, banheiro social, cozinha e área de serviço e 1 vaga de garagem descoberta. Condomínio com portaria 24 horas, portão eletrônico, quadra poliesportiva e playground, não possuí elevador.",65 m²
N/A,R$ 682.500,"Santa Mônica, Uberlândia","Excelente oportunidade de apartamentos em construção;
 11 Pavimentos, sendo 10 pavimentos com apto tipo e 1 pavimento lazer + apto rooftop
 Estrutura convencional
 3 apartamentos por andar
 31 apartamentos no total, torre única.
 Apartamentos de 83m², 99m², 105m² e 107m².
 2 Elevadores.

Localização:
 Em frente à prefeitura
 Ao lado do Center Shopping
 Conexão rápida com a Av. Rondon Pacheco
 1 minuto do Pátio Sabiá
 3 minutos do Parque do Sabiá
 Próximo ao câmpus da Universidade Federal de Uberlândia

Áreas Comuns:
 Recepção/Hall de entrada
 Ferramentaria
 Bicicletário
 Espaço Pet
 Espaço Kids
 Academia
 Delivery Room

Rooftop Gourmet:
 Churrasqueira
 Fogão
 Geladeira
 Cervejeira
 Bancadas
 Banquetas
 Cadeiras e mesas

Rooftop Lazer:
 Mesa de sinuca
 Lareira
 Cascata
 Espaço do Vinho
 Pergolado
 Redário
 Lareira Grill
 Piso amadeirado

Acabamento:
 Janelas alumínio bronze
 Porcelanato 100x100cm
 Porcelanato 80x80cm nas
 paredes dos banhos e piso da área seca
 Bancadas dos banhos esculpidas em porcelanato
 Varanda com piso porcelanato acetinado 80x80cm
 Paredes cozinha e área de serviço com piso porcelanato 60 cm acima da pia e acima do local do fogão;
 Varanda com piso porcelanato acetinado 80x80cm
 Plantas com opção de lavabo.
 Recepção com acessibilidade
 Paisagismo
 Detalhes em led nas fachadas
 Fechadura digital em todos os apartamentos",105 m²
N/A,R$ 1.111.659,"Patrimônio, Uberlândia","Apartamentos em excelente localização do bairro Patrimônio, com aproximadamente 131m² de área privativa, com 03 quartos sendo 01 com chuveiro e cuba dupla e closet, sala em 02 ambientes ampla, lavabo, sacada gourmet com churrasqueira, espaço home office, cozinha, área de serviço, 04 pontos para ar condicionado e 02 vagas de garagem com box. O condomínio oferece 02 elevadores, salão de festas decorado e bicicletário. À partir de R1.010.600,00",131 m²
N/A,R$ 1.200.000Cond.  R$ 1.980 | IPTU R$ 0Preço abaixo do mercado,"Fundinho, Uberlândia","Excelente apartamento na região central de Uberlândia.
Dispondo de três suítes com closet e a principal com Hidromassagem , lavabo, três salas grandes, roupeiro no corredor, cozinha e área de serviço com dependência completa de empregada e garagem para 2 carros Gostou do imóvel? Estamos aqui para te ajudar na negociação. Conte com a Objetiva Imóveis Uberlândia",230 m²
N/A,R$ 190.000Cond.  R$ 280 | IPTU R$ 0,"Martins, Uberlândia","Ótimo Apartamento no Bairro Martins
Apartamento com ótima localização próximo de Colégio, Supermercado, Posto de Combustível, Praça Sergio Pacheco e Próximo da Avenida João Pessoa
2 Quartos
1 Banheiro Social
Sala
Cozinha
Lavanderia
Varanda
Garagem para 1 Carro
Condomínio (R$ 280)
Condomínio Possui:
Portaria
Cerca Elétrica
Playground
Apartamento com 53m²
Valor: R$ 190.000,00",53 m²
N/A,R$ 268.000,"Santa Mônica, Uberlândia","Excelente oportunidade de apartamento próximo á UFU, sala com sacada, banheiro social, cozinha, lavanderia, espaço coworking, 1 vaga de garagem, elevador.",27 m²
N/A,R$ 160.000,"Minas Gerais, Uberlândia","Apartamento com área privativa de aproximadamente 55m², sendo, sala, 2 quartos, banheiro social, cozinha, área de serviço, 1 vaga de garagem.",55 m²
N/A,R$ 200.000Cond.  R$ 190 | IPTU R$ 0,"Tibery, Uberlândia","Apartamento com boa localização ao lado do Parque do Sabiá, sala em dois ambientes, sacada, banheiro social com box, 2 quartos sendo uma suíte, cozinha com armário sob a pia, área de serviço, interfone, portão eletrônico, 1 vaga de garagem, gás canalizado, quiosque com churrasqueira.",59 m²
N/A,R$ 225.000,"Novo Mundo, Uberlândia","Apartamento em construção localizado no bairro Bem Viver, com 53m² de área privativa. Conta com 2 quartos, sala, sacada, cozinha, banheiro, área de serviço, elevador e garagem para 1 carro. 

* OBRA EM FASE FINAL, PREVISÃO DE ENTREGA EM JANEIRO 2023. *

Parcelamos a entrada até a entrega da obra e mais 6 vezes no cartão de crédito.

Pegamos carro, moto ou terreno como entrada.

* PRÉDIO COM ELEVADOR;

* ACABAMENTO DE PRIMEIRA.

- Apto 201 2/4 com 53,00m² com sacada - Valor 225 mil;

Gostou do imóvel? Estamos aqui para te ajudar na negociação. Conte com a Objetiva Imóveis Uberlândia",53 m²
N/A,R$ 210.000Cond.  R$ 180 | IPTU R$ 0,"Pampulha, Uberlândia","Apartamento com 51m² de área privativa em localização privilegiada no Pampulha em Uberlândia-MG.

- 2 Dormitórios
- Sala
- Cozinha
- Banheiro social com armários
- Área de serviço com armários
- 1 Vaga de garagem coberta

***ATENÇÃO: Os preços, valores e informações acima exibidos, poderão sofrer mudanças sem prévio aviso e a qualquer tempo, a critério dos proprietários. Por este motivo todos os preços e informações deverão ser confirmados pela Storte Imóveis. -",51 m²
N/A,R$ 420.000,"Santa Mônica, Uberlândia","Apartamento Bairro Santa Mônica com 62,45m2, 02 vagas, 02 salas, cozinha, 02 quartos sendo 01 suíte, 02 banheiros, rea de serviço, churrasqueira, elevador.",62 m²
N/A,R$ 950.000Cond.  R$ 1.427 | IPTU R$ 0,"Saraiva, Uberlândia","Prédio com: Portaria, salão de festas, playground, elevador. 

Apartamento com: Sala ampla em 02 ambientes com sacada gourmet, lavabo, 03 quartos sendo 01 suíte, banheiro social, cozinha, lavanderia.
Todos com armários, luminárias, ar condicionado, 02 vagas na. ref. 7314 atualizado em 12/10.",144 m²
N/A,R$ 494.000,"Presidente Roosevelt, Uberlândia","Ótima oportunidade de morar em um apartamento completo e confortável no bairro Presidente Roosevelt, com 94,3 m² de área útil, este imóvel fica no 1º andar e conta com 2 elevadores. Possui 3 quartos, uma suíte e um quarto com armários, banheiro da suíte com armário e banheiro social. A sala é ampla e conjugada, proporcionando um ambiente agradável e acolhedor. A cozinha também é ampla e conta com armários para armazenamento. A lavanderia também é ampla e com armários para facilitar a organização. A sacada oferece um espaço agradável para relaxar e apreciar a vista. O condomínio possui área de lazer completa, incluindo piscina, salão de festas e playground, tudo isso para proporcionar momentos de lazer e diversão para você e sua família. O imóvel também possui 2 vagas de garagem, sendo 1 coberta, para sua comodidade e segurança.",94 m²
N/A,R$ 200.000Cond.  R$ 180 | IPTU R$ 0,"Nova Uberlândia, Uberlândia","EXCELENTE APTO, TODO DECORADO, 02 QUARTOS COM ARMARIOS, SALA COM PAINEL RACK, MESA COM CADEIRAS, CORTINAS, COZINHA PLANEJADA COM FOGÃO COOCKTOP, AREA DE SERVIÇO, GARAGEM",54 m²
N/A,R$ 350.000,"Umuarama, Uberlândia","Apartamento com aproximadamente 76 m² de área privativa, sendo sala em 2 ambientes, 3 quartos sendo 2 com armários (1 suíte), cozinha com armários, área de serviço, cômodo nos fundos e garagem coberta para 2 carros. Excelente localização, ao lado da Medicina e terminal de ônibus.",76 m²
N/A,R$ 200.000Cond.  R$ 355 | IPTU R$ 0,"Jardim Holanda, Uberlândia","Apartamento com aproximadamente 58m² de área privativa sendo, sala, 2 quartos sendo 1 suíte com armários, banheiro social com box, cozinha com armários, área de serviço e 1 vaga de garagem. Condomínio com portaria 24 horas, água e gás incluso, elevador, piscina.",58 m²
N/A,R$ 413.100,"Presidente Roosevelt, Uberlândia","Elisios Residence
Presidente Roosevelt - Uberlândia/MG

Apartamentos de 76m² com três quartos, (um deles suíte), banheiro social, cozinha, sala de jantar/TV, área de serviço, varanda e duas vaga de garagem.
Apartamentos térreos com área garden de 22,09m².

O Elisios foi feito para você viver os seus melhores momentos. Um empreendimento que oferece comodidade, liberdade e conexões verdadeiras. Localizado no coração do bairro Roosevelt, o primeiro bairro planejado de Uberlândia.

A 400m da Praça Paris, você pode desfrutar de uma vida social verdadeira, a praça é o coração pulsante do bairro com um centro de convivência funcional, para fazer exercícios, se divertir com as crianças e pegar aquele pãozinho na padaria ao lado.

Já no seu novo apartamento você desfruta de lazer completo, com piscina e rooftop.
Um empreendimento contemporâneo com os melhores materiais e tecnologias construtivas, criando o equilíbrio entre viver em bairro tradicional em um apartamento moderno.

- Portaria
- Espaço Gourmet
- Lounge Externo
- Zen Plaza
- Playground
- Salão de Festas
- Espaço fitness no Rooftop
- Piscina com deck
- Quadra Poliesportiva
- Acesso ao subsolo
- Estacionamento

Localização privilegiada á 400m da PRAÇA PARIS.
Fácil acesso ao centro e principais regiões da cidade de Uberlândia:
- Distrito Industrial
- Br 365 (Entrada e saída da cidade) - Parque Siquierolli
- Bairro Umuarama - Granja Marileusa
- Aeroporto
- Centro
- Bairro Martins

***As informações acerca dos imóveis podem sofrer variações e estão sujeitas a verificação de disponibilidade. Portanto, pedimos aos nossos clientes que entrem em contato com a nossa equipe para atendimento pessoal e direcionado.
Agradecemos a compreensão e nos colocamos à disposição.*** -",76 m²
N/A,R$ 180.000Cond.  R$ 100 | IPTU R$ 0Preço abaixo do mercado,"Jardim Holanda, Uberlândia","Apartamento todo mobiliado no bairro Jardim Holanda, com área privativa de aproximadamente 60m², piso porcelanato, possui sala ampla, 2 quartos sendo 1 suíte, banheiro social com armário e box, cozinha com armários, lavanderia e 1 vaga de estacionamento. Portão eletrônico e interfone. Chaves na Objetiva Imóveis.Gostou do imóvel? Estamos aqui para te ajudar na negociação. Conte com a Objetiva Imóveis Uberlândia",60 m²
N/A,R$ 1.290.000,"Jardim Sul, Uberlândia","Chess, o mais novo empreendimento com a assinatura da marca que já virou referência de alto padrão no mercado de Uberlândia. Um produto compacto, refinado e estrategicamente pensado, da metragem dos apartamentos à localização nobre da Zona Sul.",103 m²
N/A,R$ 1.200.000Cond.  R$ 0 | IPTU R$ 1,"Morada da Colina, Uberlândia","*03 suítes,
*Salas de estar e jantar integradas,
*Varanda gourmet com churrasqueira a carvão,
*Lavabo,
*Cozinha com bancadas em granito,
*Área de serviço,
*Banheiro de serviço,
*Hall do prédio com pé direito duplo,
*Elevador amplo,
*Piscina,
*Salão de festas com cozinha gourmet,
*Playground,
*Pet care,
*Valor e disponibilidade sujeitos a alteração. -",127 m²
N/A,R$ 2.350.000Cond.  R$ 900 | IPTU R$ 0,"Morada da Colina, Uberlândia","Apartamento de alto padrão em uma área privilegiada da cidade certamente oferece uma série de comodidades e acabamentos de qualidade.
Com seus 198m² de espaço, é distribuído em 3 suítes, sendo uma suíte master com closet, além de contar com uma sala em 3 ambientes, cozinha, ampla sacada gourmet com churrasqueira e ar condicionado e 3 vagas na garagem.
O acabamento de alto padrão é um destaque, com marcenaria premium Bontempo e cortinas elétricas, proporcionando um ambiente sofisticado e elegante.

O edifício em si também possui um excelente acabamento e localização privilegiada.
Algumas das características e benefícios adicionais desse edifício incluem hall privativo, onde o elevador chega diretamente dentro do apartamento, elevadores panorâmicos com senha para maior segurança, espaço para academia, salão de festas e área gourmet, piscina adulto e infantil e portaria 24 horas.

***As informações acerca dos imóveis podem sofrer variações e estão sujeitas a verificação de disponibilidade. Portanto, pedimos aos nossos clientes que entrem em contato com a nossa equipe para atendimento pessoal e direcionado.
Agradecemos a compreensão e nos colocamos à disposição.*** -",198 m²
N/A,R$ 520.000Cond.  R$ 513 | IPTU R$ 52,"Centro, Uberlândia","Prédio com:

Portaria 24 horas.
Portões eletrônicos.
Interfone.
Elevador.
Câmeras segurança.

Apartamento com:

Área Privativa: 74,21 m2.
Área Construída: 147,17 m2.

02 vagas de garagem.
Sala em 02 ambientes com varanda.
02 quartos (Com armários sendo 01 suíte com closet, armário sob pia espelho e Box, painel para cama com criado mudo).
Cozinha (Com armários).
Lavanderia.

Rebaixamento em gesso. ref. 52269 atualizado em 12/10.",74 m²
N/A,R$ 1.100.000Cond.  R$ 1.200 | IPTU R$ 0,"Fundinho, Uberlândia","Apartamento no Bairro Fundinho com 165m2, 03 vagas, sala 03 ambientes, cozinha com armrios, 04 suítes com armrios sendo 01 com closet e hidro, 06 banheiros, rea de serviço, sacada, lavabo, salo de festas, piscina, 02 elevadores, portaria.",165 m²
N/A,R$ 480.000Cond.  R$ 475 | IPTU R$ 0,"Martins, Uberlândia","Apartamento em excelente localização, sala ampla em 3 ambientes, 2 quartos com armários sendo um suíte, hall com roupeiro, banheiro social com armário, espelho e box, cozinha com armários planejados, lavanderia, banheiro de serviço, 2 vagas de garagem, elevador.",96 m²
N/A,R$ 262.000Cond.  R$ 200 | IPTU R$ 200,"Segismundo Pereira, Uberlândia","RESIDENCIAL LECCE MACHADO PACHECO COM 2 QUARTOS BAIRRO SEGISMUNDO PEREIRA 
 * Valores e informações poderão sofrer alterações sem aviso prévio. Por esse motivo deverão ser confirmados.2 QUARTOS ( COM OU SEM SUÍTE ) 
 SALA EM DOIS AMBIENTES 
 COZINHA AMERICANA 
 PORTAS COM ISOLAMENTO ACÚSTICO 
 PORCELANATO EXTRA EM TODA A UNIDADE 
 GRANITO ( BANCADAS , PEITORIS E SOLEIRAS ) 
 LOCALIZADO DUAS QUADRAS DA AV JOÃO NAVES 
 VAGA AMPLA NA GARAGEM 
 ÁREA DE SERVIÇO 
 ELEVADOR 
 
 
 
 
 - Proximidades: Bares e Restaurantes, Escola, Farmácia, Supermercado, Academia, Postos de Gasolina,",50 m²
N/A,R$ 650.000Cond.  R$ 600 | IPTU R$ 1,"Martins, Uberlândia","Venda - APARTAMENTO NO BAIRRO MARTINS - CÓD. 232125 
 
 Apartamento com 108,97 m 
 Com 04 Quartos (Sendo 02 com ar condicionado) 02 suítes Todos com armários embutidos 
 Sala Tv conjugada com Sala Jantar com ar condicionado 
 Cozinha Ampla e planejada 
 Lavanderia com armarios, Dispensa 
 Banheiro social, Sacada, Elevador 
 Com 04 vagas de garagem 
 .Gostou do imóvel Então garanta essa oportunidade ! 
 
 ATENÇÃO: Os preços, valores e informações acima exibidos, poderão sofrer mudanças sem prévio aviso e a qualquer tempo, a critério dos proprietários. Por este motivo todos os preços e informações deverão ser confirmados pela Gold Negócios Imobiliários. 
 
 Para mais informações sobre VALORES e DISPONIBILIDADE acesse nosso site: www,seuimovelgold,com,br OU entre em contato no nosso whats app: ou informando o link do imóvel ou o código do imóvel. 
 
 *** Aluguel - locação - casa - condomínio - apartamento - terreno - venda - mobiliado - caução - fiador - imóveis - cobertura - duplex - financiamento - casa em condomínio - casa de rua - lote - compra - condomínio fechado *** 
 
 
 - Acabamentos: Espelho no banheiro, Iluminação em LED, Janelas com persianas, Piso porcelanato, Sala decorada, Teto com gesso, 
 
 - Características: Armários na cozinha, Ar Condicionado, Armários no banheiro, Armários no quarto, Box no banheiro, 
 
 - Cômodos: Cozinha, Despensa, Lavanderia separada, Sala de estar, Sala de jantar, Varanda/Sacada, 
 
 - Infraestrutura: Garagem coberta, Prédio com elevador, Vaga livre, Vaga presa, 
 
 - Lazer: Permitido Animais, 
 
 - Proximidades: Bares e restaurantes, Escola, Farmácia, Shopping Center, Supermercado, Faculdade, Hospital, Terminal de ônibus, 
 
 - Segurança: Cerca elétrica,",108 m²
N/A,R$ 358.000Cond.  R$ 152 | IPTU R$ 1,"Tubalina, Uberlândia","Apartamento com fino acabamento, piso em porcelanato, todo montado, sala em 2 ambientes, 2 quartos com armrio sendo 1 suite, banheiro social, cozinha toda montada com armario, bancadas em granito, lavanderia e sacada.",76 m²
N/A,R$ 300.000Cond.  R$ 186 | IPTU R$ 280,"Santa Mônica, Uberlândia","Venda - Apartamento 3/4 no Bairro Jardim Finotti - Cód. 226676 
 
 Apartamento 73m², porcelanato, 03 quartos sendo 01 suíte c/ armários 02 vagas de garagem. 
 Ótima localização. 
 Quartos 3 
 Banheiros 2 
 Vagas na garagem 2 
 Detalhes do imóvel - Área de serviço, Armários na cozinha, Armários no quarto 
 . 
 Consulte nosso departamento comercial para confirmar valores e informações, pois poderão sofrer mudanças sem aviso prévio. 
 . 
 Gostou do imóvel Então garanta essa oportunidade ! 
 Entre em contato conosco: / ou aguarde que vamos respondemos inbox ou visite nosso site para mais opções www,seuimovelgold,com,br 
 
 ATENÇÃO: Os preços, valores e informações acima exibidos, poderão sofrer mudanças sem prévio aviso e a qualquer tempo, a critério dos proprietários. Por este motivo todos os preços e informações deverão ser confirmados pela Gold Negócios Imobiliários. 
 
 Para mais informações sobre VALORES e DISPONIBILIDADE acesse nosso site: www,seuimovelgold,com,br OU entre em contato no nosso whats app: / informando o link do imóvel ou o código do imóvel. 
 
 
 - Acabamentos: Espelho no banheiro, Piso porcelanato, Sala decorada, 
 
 - Características: Armários na cozinha, Armários no banheiro, Armários no quarto, Box no banheiro, Painel na sala, Semi mobiliado, 
 
 - Cômodos: Cozinha, Lavanderia separada, Sala de estar, Sala de jantar, Varanda/Sacada, 
 
 - Infraestrutura: Garagem coberta, Prédio sem elevador, 
 
 - Lazer: Permitido Animais, 
 
 - Proximidades: Bares e restaurantes, Escola, Farmácia, Shopping Center, Supermercado, Faculdade, Hospital, Zona Sul, 
 
 - Segurança: Portão eletrônico,",72 m²
N/A,R$ 190.000Cond.  R$ 150 | IPTU R$ 0,"Presidente Roosevelt, Uberlândia","Apartamento com rede de proteção de aproximadamente 48m² de área privativa sendo, sala, 2 quartos, banheiro social com armário e box, cozinha com armários, lavanderia, sacada e 1 vagas de estacionamento. Condomínio conta com churrasqueira, gás canalizado e playground.",48 m²
N/A,R$ 630.000Cond.  R$ 0 | IPTU R$ 600,"Santa Mônica, Uberlândia","Apartamento maravilhoso no bairro Santa Mônica

- Área privativa de 92m²
- Box na garagem de 7m²
- Apartamento com 3 Quartos sendo 1 suíte
- Sala em 2 ambientes
- Cozinha americana
- Varanda
- 2 Vagas de garagens presas
- Preparação para ar condicionado
- Gás canalizado com medidores individuais
- Rodapé embutido
- Elevador

Condomínio:
- Espaço Gourmet
- Energia solar
- Espaço Kids -",92 m²
N/A,R$ 140.000Cond.  R$ 114 | IPTU R$ 0,"Jardim Canaã, Uberlândia","Ótimo apartamento localizado no Bairro Santo Antônio com 52m2 de área privativa, 01 vaga de garagem coberta, sala em 02 ambientes, cozinha separada da lavanderia e área de serviço, 02 quartos, banheiro social.",52 m²
N/A,R$ 850.000Cond.  R$ 700 | IPTU R$ 0,"Centro, Uberlândia","Excelente Apartamento, Sol da Manhã, no Jardim Karaíba, melhor condomínio clube da zona sul de Uberlândia, uma ampla e completa área de lazer, um verdadeiro clube, todo o conforto que você e sua família merecem!!.

Apartamento com moveis planejados de muito bom gosto e qualidade ,aproximadamento 108,00m² .

Varanda gourmet com churrasqueira;
02 vagas de garagem livres;
Sala para 02 ambientes, com uma linda vista da cidade;
Lavabo;
03 suítes com armários;
Cozinha com armários planejados modernos e de bom gosto;
Aquecedor a gás;
Portaria 24h;
Elevadores.

Condomínio com: Brinquedoteca, Deck molhado, Espaço gourmet, Espaço mulher. Espaço pet, Espaço teen, Espaço zen, Fitness, Home office, Piscina adulto e infantil, Playground, Portaria, Quadra de tênis oficial, Quadra recreativa, Quiosque com churrasqueira e forno de pizza, Sala de jogos adulto, Sala de leitura, Sala de massagem, Salão de festas, Sauna seca.

Bem localizado, próximo de ótimos shoppings, supermercados, escolas, faculdades, hospital e outros comércios. 8145",108 m²
N/A,R$ 299.000Cond.  R$ 264 | IPTU R$ 1,"Tubalina, Uberlândia","Este é o momento perfeito para investir em um apartamento bem localizado e com ótimas comodidades. Este apartamento novo é perfeito para quem busca qualidade de vida, conforto e praticidade em um só lugar. Localizado em uma excelente região no bairro Tubalina, a apenas 800m do Praia Clube, este apartamento de 60m² no 1° andar oferece sala em dois ambientes conjugada com cozinha estilo americana, bancada em pedra granito, sacada, banheiro social, 2 quartos sendo 1 suíte e outro com sacada, área de serviço e 1 vaga de garagem. Além disso, o condomínio oferece espaço gourmet com churrasqueira e elevador. Venha conhecer este apartamento incrível e veja como ele pode se tornar um ótimo investimento. Agende sua visita.",60 m²
N/A,R$ 160.000Cond.  R$ 253 | IPTU R$ 0,"Chácaras Tubalina e Quartel, Uberlândia","Ótimo apartamento, sala, 02 quartos, banheiro social, cozinha com armários planejados, área de serviço, 01 vaga de garagem, piso amadeirado e porcelanato. Condomínio com com piscina, pátio com jardim, churrasqueira.",43 m²
N/A,R$ 208.500Cond.  R$ 1 | IPTU R$ 200,"Jardim Holanda, Uberlândia","Apartamento para Venda, PALMEIRA IMPERIAL RESIDENCE no bairro Jardim Holanda, localizado na cidade de Uberlândia / MG, situado na zona OESTE, região OESTE. 
 
 - 2 dormitorios sendo 1 suíte 
 - Banheiro Social 
 - Cozinha 
 - Sala 
 - Sacada 
 - Área de Serviço 
 - 1 Vaga de Garagem 
 
 - Documentação Grátis 
 - 2 Elevadores 
 - PRONTO PARA MORAR 
 
 Área Total de 56,63 m², Área Privativa de 56,63 m², Área Construída com 56,63 m². 
 
 Valor do Imóvel R$ 208.500,00, IPTU R$ 200,00. 
 
 Características: Portão Eletrônico, Elevador, Gás Canalizado. 
 
 Cômodos: Área de Serviço, Cozinha, Sacada. 
 
 Proximidades: Bares e Restaurantes, Escola, Farmácia, Supermercado, Academia, Postos de Gasolina. 
 
 Segurança: Portaria 24 horas, Sistema de Câmeras Online. 
 
 
 
 
 - Características: Portão Eletrônico, Elevador, Gás Canalizado, 
 
 - Cômodos: Área de Serviço, Cozinha, Sacada, 
 
 - Proximidades: Bares e Restaurantes, Escola, Farmácia, Supermercado, Academia, Postos de Gasolina, 
 
 - Segurança: Portaria 24 horas, Sistema de Câmeras Online,",56 m²
N/A,R$ 160.000Cond.  R$ 253 | IPTU R$ 0,"Chácaras Tubalina e Quartel, Uberlândia","Ótimo apartamento, sala, 02 quartos, banheiro social, cozinha com armários planejados, área de serviço, 01 vaga de garagem, piso amadeirado e porcelanato. Condomínio com com piscina, pátio com jardim, churrasqueira.",43 m²
N/A,R$ 208.500Cond.  R$ 1 | IPTU R$ 200,"Jardim Holanda, Uberlândia","Apartamento para Venda, PALMEIRA IMPERIAL RESIDENCE no bairro Jardim Holanda, localizado na cidade de Uberlândia / MG, situado na zona OESTE, região OESTE. 
 
 - 2 dormitorios sendo 1 suíte 
 - Banheiro Social 
 - Cozinha 
 - Sala 
 - Sacada 
 - Área de Serviço 
 - 1 Vaga de Garagem 
 
 - Documentação Grátis 
 - 2 Elevadores 
 - PRONTO PARA MORAR 
 
 Área Total de 56,63 m², Área Privativa de 56,63 m², Área Construída com 56,63 m². 
 
 Valor do Imóvel R$ 208.500,00, IPTU R$ 200,00. 
 
 Características: Portão Eletrônico, Elevador, Gás Canalizado. 
 
 Cômodos: Área de Serviço, Cozinha, Sacada. 
 
 Proximidades: Bares e Restaurantes, Escola, Farmácia, Supermercado, Academia, Postos de Gasolina. 
 
 Segurança: Portaria 24 horas, Sistema de Câmeras Online. 
 
 
 
 
 - Características: Portão Eletrônico, Elevador, Gás Canalizado, 
 
 - Cômodos: Área de Serviço, Cozinha, Sacada, 
 
 - Proximidades: Bares e Restaurantes, Escola, Farmácia, Supermercado, Academia, Postos de Gasolina, 
 
 - Segurança: Portaria 24 horas, Sistema de Câmeras Online,",56 m²
N/A,R$ 1.200.000Cond.  R$ 1.200 | IPTU R$ 0,"Fundinho, Uberlândia","Prédio com portaria 24 horas, portões eletrônicos, interfone, câmeras de segurança, recepção, academia, 02 piscinas, sauna, salão de festas, área gourmet com churrasqueira, gás canalizado e 02 elevadores.
Apartamento com 03 vagas de garagem (01 vaga livre e 02 presas), entradas social e de serviço, sala em 02 ambientes com varanda, lavabo, 04 suítes (03 com varandas, 02 com closets e 01 com hidromassagem), cozinha, lavanderia e banheiro de serviço.

Piso porcelanato, bancadas e pias em granito, esquadrias em alumínio na cor bege, molduras em gesso no teto, aquecedor solar nos banheiros e nas pias dos banheiros e da cozinha.
Toda montada com armários e box em blindex.
01 aparelho de ar condicionado Split em uma das. ref. 12266 atualizado em 12/10.",165 m²
